uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
repos/datasets/benchmarks/utils.py:generate_example_dataset,generate_example_dataset,function,18,44,43,554,12.59,1,1,"['dataset_path', 'features', 'num_examples', 'seq_shapes']","[None, None, None, None]","[None, None, '100', 'None']",47,[],"['generate_examples', 'ArrowWriter', 'features.encode_example', 'writer.write', 'writer.finalize', 'ValueError']",6
repos/datasets/benchmarks/utils.py:generate_examples,generate_examples,function,19,61,47,588,9.64,3,2,"['features', 'num_examples', 'seq_shapes']","[' dict', None, None]","[None, '100', 'None']",22,[],"['range', 'enumerate', 'isinstance', 'dummy_data.append']",4
repos/datasets/benchmarks/utils.py:get_duration,get_duration,function,9,17,16,179,10.53,0,0,['func'],[None],[None],10,[],"['wrapper', 'timeit.default_timer', 'func']",3
repos/datasets/metrics/accuracy/accuracy.py:Accuracy,Accuracy,class,8,43,32,697,16.21,0,1,[],[],[],80,[],[],0
repos/datasets/metrics/accuracy/accuracy.py:Accuracy:_compute,Accuracy:_compute,method,1,10,10,116,11.6,0,0,"['self', 'predictions', 'references', 'normalize', 'sample_weight']","[None, None, None, None, None]","[None, None, None, 'True', 'None']",100,[],"['float', 'accuracy_score']",2
repos/datasets/metrics/accuracy/accuracy.py:Accuracy:_info,Accuracy:_info,method,6,25,19,488,19.52,0,1,['self'],[None],[None],81,[],"['datasets.MetricInfo', 'datasets.Sequence', 'datasets.Value']",3
repos/datasets/metrics/bertscore/bertscore.py:filter_logging_context,filter_logging_context,function,7,23,22,245,10.65,0,1,[],[],[],26,[],"['filter_log', 'logger.addFilter', 'logger.removeFilter']",3
repos/datasets/metrics/bertscore/bertscore.py:BERTScore,BERTScore,class,40,205,161,2620,12.78,0,7,[],[],[],100,[],[],0
repos/datasets/metrics/bertscore/bertscore.py:BERTScore:_compute,BERTScore:_compute,method,28,125,96,1464,11.71,0,4,"['self', 'predictions', 'references', 'lang', 'model_type', 'num_layers', 'verbose', 'idf', 'device', 'batch_size', 'nthreads', 'all_layers', 'rescale_with_baseline', 'baseline_path', 'use_fast_tokenizer', '']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, 'None', 'None', 'None', 'False', 'False', 'None', '64', '4', 'False', 'False', 'None', 'False', None]",120,[],"['version.parse', 'functools.partial', 'ImportWarning', 'get_hash', 'filter_logging_context', 'hasattr', 'scorer', 'P.tolist', 'R.tolist', 'F.tolist']",10
repos/datasets/metrics/bertscore/bertscore.py:BERTScore:_info,BERTScore:_info,method,5,23,23,495,21.52,0,0,['self'],[None],[None],101,[],"['datasets.MetricInfo', 'datasets.Value', 'datasets.Sequence']",3
repos/datasets/metrics/bertscore/bertscore.py:BERTScore:add,BERTScore:add,method,3,8,8,114,14.25,0,1,"['self', 'prediction', 'reference', '**kwargs']","[None, None, None, None]","[None, 'None', 'None', None]",201,"['        """"""Add one prediction and reference for the metric\'s stack.""""""\n']","['isinstance', 'super']",2
repos/datasets/metrics/bertscore/bertscore.py:BERTScore:add_batch,BERTScore:add_batch,method,3,19,16,161,8.47,0,2,"['self', 'predictions', 'references', '**kwargs']","[None, None, None, None]","[None, 'None', 'None', None]",193,"['        """"""Add a batch of predictions and references for the metric\'s stack.""""""\n']","['isinstance', 'super']",2
repos/datasets/metrics/bleu/bleu.py:Bleu,Bleu,class,9,63,56,1032,16.38,0,0,[],[],[],93,[],[],0
repos/datasets/metrics/bleu/bleu.py:Bleu:_compute,Bleu:_compute,method,3,29,29,353,12.17,0,0,"['self', 'predictions', 'references', 'max_order', 'smooth']","[None, None, None, None, None]","[None, None, None, '4', 'False']",114,[],['compute_bleu'],1
repos/datasets/metrics/bleu/bleu.py:Bleu:_info,Bleu:_info,method,5,26,23,595,22.88,0,0,['self'],[None],[None],94,[],"['datasets.MetricInfo', 'datasets.Sequence']",2
repos/datasets/metrics/bleurt/bleurt.py:BLEURT,BLEURT,class,20,103,84,1369,13.29,0,2,[],[],[],79,[],[],0
repos/datasets/metrics/bleurt/bleurt.py:BLEURT:_compute,BLEURT:_compute,method,3,6,6,94,15.67,0,0,"['self', 'predictions', 'references']","[None, None, None]","[None, None, None]",120,[],[],0
repos/datasets/metrics/bleurt/bleurt.py:BLEURT:_download_and_prepare,BLEURT:_download_and_prepare,method,10,68,55,704,10.35,0,2,"['self', 'dl_manager']","[None, None]","[None, None]",96,[],"['logger.warning', 'datasets.load_metric', 'KeyError', 'dl_manager.download_and_extract', 'score.BleurtScorer']",5
repos/datasets/metrics/bleurt/bleurt.py:BLEURT:_info,BLEURT:_info,method,5,20,18,468,23.4,0,0,['self'],[None],[None],80,[],"['datasets.MetricInfo', 'datasets.Value']",2
repos/datasets/metrics/cer/cer.py:CER,CER,class,16,67,50,1071,15.99,1,1,[],[],[],118,[],[],0
repos/datasets/metrics/cer/cer.py:CER:_compute,CER:_compute,method,10,39,27,526,13.49,1,1,"['self', 'predictions', 'references', 'concatenate_texts']","[None, None, None, None]","[None, None, None, 'False']",137,[],"['jiwer.compute_measures', 'zip']",2
repos/datasets/metrics/cer/cer.py:CER:_info,CER:_info,method,5,21,19,462,22.0,0,0,['self'],[None],[None],119,[],"['datasets.MetricInfo', 'datasets.Value']",2
repos/datasets/metrics/cer/test_cer.py:TestCER,TestCER,class,23,224,80,2712,12.11,0,0,[],[],[],22,[],[],0
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_case_senstive,TestCER:test_cer_case_senstive,method,5,13,13,159,12.23,0,0,['self'],[None],[None],23,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_del,TestCER:test_cer_del,method,5,11,11,149,13.55,0,0,['self'],[None],[None],64,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_empty,TestCER:test_cer_empty,method,5,8,8,112,14.0,0,0,['self'],[None],[None],120,[],"['self.assertRaises', 'cer.compute']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_equal,TestCER:test_cer_equal,method,4,7,7,117,16.71,0,0,['self'],[None],[None],78,[],"['cer.compute', 'self.assertEqual']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_insert,TestCER:test_cer_insert,method,5,11,11,147,13.36,0,0,['self'],[None],[None],71,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_list_of_seqs,TestCER:test_cer_list_of_seqs,method,9,32,20,333,10.41,0,0,['self'],[None],[None],83,[],"['cer.compute', 'self.assertEqual', 'self.assertTrue']",3
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_sub,TestCER:test_cer_sub,method,5,11,11,148,13.45,0,0,['self'],[None],[None],57,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_unicode,TestCER:test_cer_unicode,method,6,38,25,452,11.89,0,0,['self'],[None],[None],103,[],"['cer.compute', 'self.assertTrue', 'self.assertFalse']",3
repos/datasets/metrics/cer/test_cer.py:TestCER:test_cer_whitespace,TestCER:test_cer_whitespace,method,6,50,16,594,11.88,0,0,['self'],[None],[None],30,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/cer/test_cer.py:TestCER:test_correlated_sentences,TestCER:test_correlated_sentences,method,5,23,20,212,9.22,0,0,['self'],[None],[None],94,[],"['cer.compute', 'self.assertTrue']",2
repos/datasets/metrics/chrf/chrf.py:ChrF,ChrF,class,21,132,109,1481,11.22,2,2,[],[],[],127,[],[],0
repos/datasets/metrics/chrf/chrf.py:ChrF:_compute,ChrF:_compute,method,13,51,44,535,10.49,2,1,"['self', 'predictions', 'references', 'char_order', 'word_order', 'beta', 'lowercase', 'whitespace', 'eps_smoothing', '']","[None, None, None, ' int ', ' int ', ' int ', ' bool ', ' bool ', ' bool ', None]","[None, None, None, ' CHRF.CHAR_ORDER', ' CHRF.WORD_ORDER', ' CHRF.BETA', ' False', ' False', ' False', None]",151,[],"['len', 'any', 'ValueError', 'range', 'CHRF', 'sb_chrf.corpus_score']",6
repos/datasets/metrics/chrf/chrf.py:ChrF:_info,ChrF:_info,method,7,55,53,727,13.22,0,1,['self'],[None],[None],128,[],"['version.parse', 'ImportWarning', 'datasets.MetricInfo', 'datasets.Value', 'datasets.Sequence']",5
repos/datasets/metrics/code_eval/code_eval.py:estimate_pass_at_k,estimate_pass_at_k,function,11,47,39,361,7.68,0,2,"['num_samples', 'num_correct', 'k']","[None, None, None]","[None, None, None]",197,"['    """"""Estimates pass@k of each problem and returns them in an array.""""""\n']","['estimator', 'np.prod', 'np.arange', 'isinstance', 'itertools.repeat', 'len', 'iter', 'np.array', 'int', 'zip']",10
repos/datasets/metrics/code_eval/code_eval.py:CodeEval,CodeEval,class,48,135,109,1569,11.62,4,2,[],[],[],134,[],[],0
repos/datasets/metrics/code_eval/code_eval.py:CodeEval:_compute,CodeEval:_compute,method,40,106,82,1044,9.85,4,2,"['self', 'predictions', 'references', 'k', '10', '100]', 'num_workers', 'timeout']","[None, None, None, None, None, None, None, None]","[None, None, None, '[1', None, None, '4', '3.0']",154,"['        """"""Returns the scores""""""\n']","['os.getenv', 'ValueError', 'NotImplementedError', 'ThreadPoolExecutor', 'Counter', 'defaultdict', 'enumerate', 'executor.submit', 'futures.append', 'as_completed', 'future.result', 'results.values', 'result.sort', 'total.append', 'correct.append', 'np.array', 'estimate_pass_at_k']",17
repos/datasets/metrics/code_eval/code_eval.py:CodeEval:_info,CodeEval:_info,method,7,18,18,427,23.72,0,0,['self'],[None],[None],135,[],"['datasets.MetricInfo', 'datasets.Sequence', 'datasets.Value']",3
repos/datasets/metrics/code_eval/execute.py:chdir,chdir,function,8,18,17,125,6.94,0,1,['root'],[None],[None],142,[],"['os.getcwd', 'os.chdir']",2
repos/datasets/metrics/code_eval/execute.py:check_correctness,check_correctness,function,12,32,31,350,10.94,0,2,"['check_program', 'timeout', 'task_id', 'completion_id']","[None, None, None, None]","[None, None, None, None]",28,"['    """"""\n', '    Evaluates the functional correctness of a completion by running the test\n', '    suite provided in the problem.\n', '\n', '    :param completion_id: an optional completion ID so we can match\n', '        the results later even if execution finishes asynchronously.\n', '    """"""\n']","['multiprocessing.Manager', 'manager.list', 'multiprocessing.Process', 'p.start', 'p.join', 'p.is_alive', 'p.kill', 'result.append']",8
repos/datasets/metrics/code_eval/execute.py:create_tempdir,create_tempdir,function,4,8,7,76,9.5,0,0,[],[],[],110,[],"['tempfile.TemporaryDirectory', 'chdir']",2
repos/datasets/metrics/code_eval/execute.py:reliability_guard,reliability_guard,function,51,114,65,1158,10.16,0,2,['maximum_memory_bytes'],[None],['None'],156,"['    """"""\n', '    This disables various destructive functions and prevents the generated code\n', '    from interfering with the test (e.g. fork bomb, killing other processes,\n', '    removing filesystem files, etc.)\n', '\n', '    WARNING\n', '    This function is NOT a security sandbox. Untrusted code, including, model-\n', '    generated code, should not be blindly executed outside of one. See the\n', ""    Codex paper for more information about OpenAI's code sandbox, and proceed\n"", '    with caution.\n', '    """"""\n']","['resource.setrlimit', 'platform.uname', 'faulthandler.disable']",3
repos/datasets/metrics/code_eval/execute.py:swallow_io,swallow_io,function,6,9,7,140,15.56,0,0,[],[],[],101,[],"['WriteOnlyStringIO', 'contextlib.redirect_stdout', 'contextlib.redirect_stderr', 'redirect_stdin']",4
repos/datasets/metrics/code_eval/execute.py:time_limit,time_limit,function,5,15,14,216,14.4,0,0,['seconds'],[None],[None],88,[],"['signal_handler', 'TimeoutException', 'signal.setitimer', 'signal.signal']",4
repos/datasets/metrics/code_eval/execute.py:unsafe_execute,unsafe_execute,function,19,39,34,389,9.97,0,0,"['check_program', 'result', 'timeout']","[None, None, None]","[None, None, None]",56,[],"['create_tempdir', 'reliability_guard', 'swallow_io', 'time_limit', 'exec', 'result.append']",6
repos/datasets/metrics/code_eval/execute.py:TimeoutException,TimeoutException,class,0,1,1,4,4.0,0,0,[],[],[],116,[],[],0
repos/datasets/metrics/code_eval/execute.py:WriteOnlyStringIO,WriteOnlyStringIO,class,6,24,11,183,7.62,0,0,[],[],[],120,[],[],0
repos/datasets/metrics/code_eval/execute.py:redirect_stdin,redirect_stdin,class,1,2,2,15,7.5,0,0,[],[],[],137,[],[],0
repos/datasets/metrics/code_eval/execute.py:WriteOnlyStringIO:read,WriteOnlyStringIO:read,method,1,2,2,12,6.0,0,0,"['self', '*args', '**kwargs']","[None, None, None]","[None, None, None]",123,[],[],0
repos/datasets/metrics/code_eval/execute.py:WriteOnlyStringIO:readable,WriteOnlyStringIO:readable,method,1,2,2,11,5.5,0,0,"['self', '*args', '**kwargs']","[None, None, None]","[None, None, None]",132,"['        """"""Returns True if the IO object can be read.""""""\n']",[],0
repos/datasets/metrics/code_eval/execute.py:WriteOnlyStringIO:readline,WriteOnlyStringIO:readline,method,1,2,2,12,6.0,0,0,"['self', '*args', '**kwargs']","[None, None, None]","[None, None, None]",126,[],[],0
repos/datasets/metrics/code_eval/execute.py:WriteOnlyStringIO:readlines,WriteOnlyStringIO:readlines,method,1,2,2,12,6.0,0,0,"['self', '*args', '**kwargs']","[None, None, None]","[None, None, None]",129,[],[],0
repos/datasets/metrics/comet/comet.py:COMET,COMET,class,19,80,66,1205,15.06,0,3,[],[],[],109,[],[],0
repos/datasets/metrics/comet/comet.py:COMET:_compute,COMET:_compute,method,9,34,31,285,8.38,0,2,"['self', 'sources', 'predictions', 'references', 'gpus', 'progress_bar']","[None, None, None, None, None, None]","[None, None, None, None, 'None', 'False']",137,[],['zip'],1
repos/datasets/metrics/comet/comet.py:COMET:_download_and_prepare,COMET:_download_and_prepare,method,3,8,7,194,24.25,0,1,"['self', 'dl_manager']","[None, None]","[None, None]",131,[],['comet.load_from_checkpoint'],1
repos/datasets/metrics/comet/comet.py:COMET:_info,COMET:_info,method,5,26,22,586,22.54,0,0,['self'],[None],[None],110,[],"['datasets.MetricInfo', 'datasets.Value']",2
repos/datasets/metrics/coval/coval.py:check_gold_parse_annotation,check_gold_parse_annotation,function,8,26,19,196,7.54,1,3,['key_lines'],[None],[None],257,[],"['line.startswith', 'len', 'line.split']",3
repos/datasets/metrics/coval/coval.py:evaluate,evaluate,function,16,70,56,669,9.56,1,2,"['key_lines', 'sys_lines', 'metrics', 'NP_only', 'remove_nested', 'keep_singletons', 'min_span']","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",228,[],"['get_coref_infos', 'evaluator.evaluate_documents', 'output_scores.update', 'logger.info', 'name.ljust']",5
repos/datasets/metrics/coval/coval.py:get_coref_infos,get_coref_infos,function,33,145,83,1845,12.72,0,5,"['key_lines', 'sys_lines', 'NP_only', 'remove_nested', 'keep_singletons', 'min_span', 'doc']","[None, None, None, None, None, None, None]","[None, None, 'False', 'False', 'True', 'False', '""dummy_doc""']",168,[],"['reader.get_doc_mentions', 'reader.set_annotated_parse_trees', 'reader.remove_nested_coref_mentions', 'reader.get_mention_assignments', 'logger.info']",5
repos/datasets/metrics/coval/coval.py:Coval,Coval,class,14,74,68,1122,15.16,0,2,[],[],[],272,[],[],0
repos/datasets/metrics/coval/coval.py:Coval:_compute,Coval:_compute,method,8,42,40,518,12.33,0,2,"['self', 'predictions', 'references', 'keep_singletons', 'NP_only', 'min_span', 'remove_nested']","[None, None, None, None, None, None, None]","[None, None, None, 'True', 'False', 'False', 'False']",292,[],"['util.check_gold_parse_annotation', 'NotImplementedError', 'evaluate']",3
repos/datasets/metrics/coval/coval.py:Coval:_info,Coval:_info,method,5,20,19,473,23.65,0,0,['self'],[None],[None],273,[],"['datasets.MetricInfo', 'datasets.Sequence']",2
repos/datasets/metrics/cuad/cuad.py:CUAD,CUAD,class,14,79,51,920,11.65,1,0,[],[],[],70,[],[],0
repos/datasets/metrics/cuad/cuad.py:CUAD:_compute,CUAD:_compute,method,7,40,27,308,7.7,1,0,"['self', 'predictions', 'references']","[None, None, None]","[None, None, None]",97,[],['evaluate'],1
repos/datasets/metrics/cuad/cuad.py:CUAD:_info,CUAD:_info,method,6,33,24,553,16.76,0,0,['self'],[None],[None],71,[],"['datasets.MetricInfo', 'datasets.Value']",2
repos/datasets/metrics/cuad/evaluate.py:compute_precision_recall,compute_precision_recall,function,17,133,55,836,6.29,4,8,"['predictions', 'ground_truths', 'qa_id']","[None, None, None]","[None, None, None]",51,[],"['len', 'get_jaccard']",2
repos/datasets/metrics/cuad/evaluate.py:evaluate,evaluate,function,36,119,86,1088,9.14,4,2,"['dataset', 'predictions']","[None, None]","[None, None]",150,[],"['print', 'compute_precision_recall', 'precisions.append', 'recalls.append', 'metric_max_over_ground_truths', 'sorted', 'recalls.sort', 'get_aupr', 'get_prec_at_recall']",9
repos/datasets/metrics/cuad/evaluate.py:exact_match_score,exact_match_score,function,2,3,3,66,22.0,0,0,"['prediction', 'ground_truth']","[None, None]","[None, None]",134,[],['normalize_answer'],1
repos/datasets/metrics/cuad/evaluate.py:get_aupr,get_aupr,function,6,11,9,132,12.0,0,1,"['precisions', 'recalls']","[None, None]","[None, None]",115,[],"['process_precisions', 'np.trapz', 'np.isnan']",3
repos/datasets/metrics/cuad/evaluate.py:get_jaccard,get_jaccard,function,14,42,34,501,11.93,1,0,"['prediction', 'ground_truth']","[None, None]","[None, None]",15,[],"['ground_truth.replace', 'prediction.replace', 'ground_truth.lower', 'prediction.lower', 'set', 'ground_truth.intersection', 'ground_truth.union', 'len']",8
repos/datasets/metrics/cuad/evaluate.py:get_prec_at_recall,get_prec_at_recall,function,10,18,15,191,10.61,1,1,"['precisions', 'recalls', 'recall_thresh']","[None, None, None]","[None, None, None]",123,"['    """"""Assumes recalls are sorted in increasing order""""""\n']","['process_precisions', 'zip']",2
repos/datasets/metrics/cuad/evaluate.py:metric_max_over_ground_truths,metric_max_over_ground_truths,function,16,34,25,195,5.74,2,2,"['metric_fn', 'predictions', 'ground_truths']","[None, None, None]","[None, None, None]",138,[],['metric_fn'],1
repos/datasets/metrics/cuad/evaluate.py:normalize_answer,normalize_answer,function,8,33,23,315,9.55,0,0,['s'],[None],[None],32,"['    """"""Lower text and remove punctuation, articles and extra whitespace.""""""\n']","['remove_articles', 're.sub', 'white_space_fix', 'remove_punc', 'set', 'lower', 'text.lower']",7
repos/datasets/metrics/cuad/evaluate.py:process_precisions,process_precisions,function,9,15,14,177,11.8,1,0,['precisions'],[None],[None],103,"['    """"""\n', ""    Processes precisions to ensure that precision and recall don't both get worse.\n"", '    Assumes the list precision is sorted in order of recalls\n', '    """"""\n']","['range', 'len', 'max']",3
repos/datasets/metrics/exact_match/exact_match.py:ExactMatch,ExactMatch,class,22,96,64,1240,12.92,1,4,[],[],[],88,[],[],0
repos/datasets/metrics/exact_match/exact_match.py:ExactMatch:_compute,ExactMatch:_compute,method,17,67,39,810,12.09,1,4,"['self', 'predictions', 'references', 'regexes_to_ignore', 'ignore_case', 'ignore_punctuation', 'ignore_numbers', '']","[None, None, None, None, None, None, None, None]","[None, None, None, 'None', 'False', 'False', 'False', None]",103,[],"['np.array', 'np.asarray', 'np.mean']",3
repos/datasets/metrics/exact_match/exact_match.py:ExactMatch:_info,ExactMatch:_info,method,4,17,15,275,16.18,0,0,['self'],[None],[None],89,[],"['datasets.MetricInfo', 'datasets.Value']",2
repos/datasets/metrics/f1/f1.py:F1,F1,class,10,52,39,769,14.79,0,1,[],[],[],99,[],[],0
repos/datasets/metrics/f1/f1.py:F1:_compute,F1:_compute,method,3,17,17,168,9.88,0,0,"['self', 'predictions', 'references', 'labels', 'pos_label', 'average', 'sample_weight']","[None, None, None, None, None, None, None]","[None, None, None, 'None', '1', '""binary""', 'None']",119,[],"['f1_score', 'float']",2
repos/datasets/metrics/f1/f1.py:F1:_info,F1:_info,method,6,25,19,482,19.28,0,1,['self'],[None],[None],100,[],"['datasets.MetricInfo', 'datasets.Sequence', 'datasets.Value']",3
repos/datasets/metrics/frugalscore/frugalscore.py:FRUGALSCORE,FRUGALSCORE,class,33,122,106,1644,13.48,0,3,[],[],[],57,[],[],0
